Disease Name,OrphaCode,Disease Category
Rare hemorrhagic disorder due to an acquired coagulation factor defect,166775,Rare hematologic disease
Dihydropteridine reductase deficiency,226,Rare inborn errors of metabolism
Isolated Dandy-Walker malformation,217,Rare developmental defect during embryogenesis
Cutis marmorata telangiectatica congenita,1556,Rare developmental defect during embryogenesis
Craniosynostosis-Dandy-Walker malformation-hydrocephalus syndrome,1538,Rare developmental defect during embryogenesis
Corpus callosum agenesis-neuronopathy syndrome,1496,Rare neurologic disease
Neonatal severe primary hyperparathyroidism,417,Rare bone disease
Hypogonadism-mitral valve prolapse-intellectual disability syndrome,2233,Rare endocrine disease
Hypoplastic left heart syndrome,2248,Rare developmental defect during embryogenesis
Neonatal hemochromatosis,446,Rare hepatic disease
Cutaneous mastocytosis-deafness-microtia syndrome,2135,Rare developmental defect during embryogenesis
Congenital diaphragmatic hernia,2140,Rare developmental defect during embryogenesis
Congenital hydrocephalus,2185,Rare developmental defect during embryogenesis
Hartnup disease,2116,Rare inborn errors of metabolism
Hawkinsinuria,2118,Rare inborn errors of metabolism
Rare cardiomyopathy,167848,Rare cardiac disease
Galactosialidosis,351,Rare inborn errors of metabolism
Congenital fiber-type disproportion myopathy,2020,Rare neurologic disease
Freeman-Sheldon syndrome,2053,Rare developmental defect during embryogenesis
Frontal encephalocele,1931,Rare developmental defect during embryogenesis
Fetal parvovirus syndrome,295,Rare developmental defect during embryogenesis
"Mitochondrial DNA depletion syndrome, encephalomyopathic form with methylmalonic aciduria",1933,Rare inborn errors of metabolism
Ebstein malformation of the tricuspid valve,1880,Rare developmental defect during embryogenesis
Dopa-responsive dystonia,255,Rare neurologic disease
Fetal alcohol syndrome,1915,Rare developmental defect during embryogenesis
Isolated ectopia lentis,1885,Rare ophthalmic disorder
Multicystic dysplastic kidney,1851,Rare renal disease
Omphalocele,660,Rare developmental defect during embryogenesis
Rare vulvovaginal tumor,180312,Rare neoplastic disease
Neuroblastoma,635,Rare neoplastic disease
Linear nevus sebaceus syndrome,2612,Rare developmental defect during embryogenesis
Metatropic dysplasia,2635,Rare bone disease
Thanatophoric dysplasia,2655,Rare bone disease
Rare non-malformative uterine adnexal disease,180303,Rare gynecologic or obstetric disease
Proximal myotonic myopathy,606,Rare neurologic disease
Pendred syndrome,705,Rare otorhinolaryngologic disease
Syndromic diaphragmatic or thoracic malformation,180779,Rare developmental defect during embryogenesis
Non-syndromic diaphragmatic or thoracic malformation,180776,Rare developmental defect during embryogenesis
Juvenile Paget disease,2801,Rare bone disease
Tetrasomy 12p syndrome,884,Rare developmental defect during embryogenesis
Rare disease with autism,180772,Rare neurologic disease
Malformative syndrome with dentinogenesis imperfecta,180766,Rare developmental defect during embryogenesis
Osteopetrosis with renal tubular acidosis,2785,Rare bone disease
Horizontal gaze palsy with progressive scoliosis,2744,Rare ophthalmic disorder
Opsismodysplasia,2746,Rare bone disease
Peroxisomal acyl-CoA oxidase deficiency,2971,Rare inborn errors of metabolism
Prune belly syndrome,2970,Rare developmental defect during embryogenesis
Proteus syndrome,744,Rare developmental defect during embryogenesis
Familial spontaneous pneumothorax,2903,Rare respiratory disease
Neuralgic amyotrophy,2901,Rare neurologic disease
Isolated Pierre Robin sequence,718,Rare developmental defect during embryogenesis
Rare gastroesophageal tumor,180821,Rare neoplastic disease
Rare tumor of pancreas,180824,Rare neoplastic disease
Rare disorder with multisystemic involvement and congenital hypogonadotropic hypogonadism,181387,Rare endocrine disease
Congenital rubella syndrome,290,Rare developmental defect during embryogenesis
Costello syndrome,3071,Rare developmental defect during embryogenesis
Endocrinopathy with congenital hypogonadotropic hypogonadism as a major feature,181390,Rare endocrine disease
Other rare diabetes mellitus,181381,Rare endocrine disease
Rare hypothalamic or pituitary disease,181384,Rare endocrine disease
Rare diabetes mellitus type 1,181371,Rare endocrine disease
Pycnodysostosis,763,Rare bone disease
Rare diabetes mellitus type 2,181376,Rare endocrine disease
Difference of sex development-intellectual disability syndrome,2983,Rare developmental defect during embryogenesis
"46,XX difference of sex development",2982,Rare developmental defect during embryogenesis
Rare insulin-resistance syndrome,181368,Rare endocrine disease
Rare non-malformative breast disease,180202,Rare gynecologic or obstetric disease
Congenital short bowel syndrome,2301,Rare developmental defect during embryogenesis
Rare non-malformative gynecologic or obstetric disease,180199,Rare gynecologic or obstetric disease
Hereditary fructose intolerance,469,Rare inborn errors of metabolism
Anomaly of puberty or/and menstrual cycle,180208,Rare gynecologic or obstetric disease
Jacobsen syndrome,2308,Rare developmental defect during embryogenesis
Rare non-malformative uterovaginal or vulvovaginal disease,180205,Rare gynecologic or obstetric disease
Joubert syndrome with oculorenal defect,2318,Rare developmental defect during embryogenesis
Foveal hypoplasia-presenile cataract syndrome,2253,Rare ophthalmic disorder
Isolated congenital breast hypoplasia/aplasia,180188,Rare developmental defect during embryogenesis
Supernumerary breasts,180182,Rare developmental defect during embryogenesis
Syndromic breast hypoplasia/aplasia,180193,Rare developmental defect during embryogenesis
Multiple intestinal atresia,2300,Rare developmental defect during embryogenesis
Embryonal carcinoma,180226,Rare neoplastic disease
Trichorhinophalangeal syndrome type 2,502,Rare developmental defect during embryogenesis
Polyembryoma,180229,Rare neoplastic disease
Larsen-like osseous dysplasia-short stature syndrome,2370,Rare bone disease
KID syndrome,477,Rare developmental defect during embryogenesis
Rare uterine adnexal tumor,180220,Rare neoplastic disease
Angioosteohypertrophic syndrome,2346,Rare developmental defect during embryogenesis
Vaginal carcinoma,180247,Rare neoplastic disease
Leigh syndrome,506,Rare inborn errors of metabolism
Rare breast tumor,180250,Rare neoplastic disease
Congenital macroglossia,2430,Rare developmental defect during embryogenesis
Rare benign breast tumor,180253,Rare neoplastic disease
Congenital pulmonary lymphangiectasia,2414,Rare developmental defect during embryogenesis
Congenital laryngomalacia,2373,Rare otorhinolaryngologic disease
Mixed germ cell tumor,180234,Rare neoplastic disease
Benign tumor of fallopian tubes,180237,Rare neoplastic disease
Laurence-Moon syndrome,2377,Rare developmental defect during embryogenesis
Isolated congenital laryngeal web,2374,Rare otorhinolaryngologic disease
Malignant tumor of fallopian tubes,180242,Rare neoplastic disease
MASA syndrome,2466,Rare developmental defect during embryogenesis
Paget disease of the nipple,180275,Rare neoplastic disease
Marshall syndrome,560,Rare bone disease
Moebius syndrome,570,Rare developmental defect during embryogenesis
Short rib-polydactyly syndrome,1505,Rare bone disease
Rare malignant breast tumor,180257,Rare neoplastic disease
Phyllodes tumor of the breast,180261,Rare neoplastic disease
Giant adenofibroma of the breast,180267,Rare neoplastic disease
Congenital pulmonary airway malformation,2444,Rare developmental defect during embryogenesis
Potassium-aggravated myotonia,612,Rare neurologic disease
Obesity due to leptin receptor gene deficiency,179494,Rare endocrine disease
Phenylketonuria,716,Rare inborn errors of metabolism
Obesity due to congenital leptin resistance,179490,Rare endocrine disease
Unilateral aplasia of the Müllerian ducts,180071,Rare developmental defect during embryogenesis
Partial bilateral aplasia of the Müllerian ducts,180068,Rare developmental defect during embryogenesis
Non-syndromic uterovaginal malformation,180065,Rare developmental defect during embryogenesis
Classical Ehlers-Danlos syndrome,287,Rare systemic or rheumatologic disease
Uterovaginal malformation,180062,Rare developmental defect during embryogenesis
Bicervical bicornuate uterus and blind hemivagina,180106,Rare developmental defect during embryogenesis
Didelphys uterus,180086,Rare developmental defect during embryogenesis
Pseudounicornuate uterus,180079,Rare developmental defect during embryogenesis
True unicornuate uterus,180074,Rare developmental defect during embryogenesis
Septate uterus,180122,Rare developmental defect during embryogenesis
Unicervical bicornuate uterus,180114,Rare developmental defect during embryogenesis
Bicervical bicornuate uterus with patent cervix and vagina,180111,Rare developmental defect during embryogenesis
Bicornuate uterus,180134,Rare developmental defect during embryogenesis
Uterine hypoplasia,180139,Rare developmental defect during embryogenesis
Complete septate uterus,180126,Rare developmental defect during embryogenesis
Partial septate uterus,180129,Rare developmental defect during embryogenesis
Syndromic uterovaginal malformation,180148,Rare developmental defect during embryogenesis
Early-onset autosomal dominant Alzheimer disease,1020,Rare neurologic disease
Rare vaginal malformation,180151,Rare developmental defect during embryogenesis
Alport syndrome,63,Rare renal disease
X-linked recessive ocular albinism,54,Rare ophthalmic disorder
Absence of uterine body,180142,Rare developmental defect during embryogenesis
Uterine cervical aplasia and agenesis,180145,Rare developmental defect during embryogenesis
Transverse vaginal septum,180160,Rare developmental defect during embryogenesis
Familial isolated dilated cardiomyopathy,154,Rare cardiac disease
Rare breast malformation,180163,Rare developmental defect during embryogenesis
Fanconi anemia,84,Rare developmental defect during embryogenesis
Septate vagina,180154,Rare developmental defect during embryogenesis
Proximal spinal muscular atrophy,70,Rare neurologic disease
Amyloidosis,69,Rare systemic or rheumatologic disease
Longitudinal vaginal septum,180157,Rare developmental defect during embryogenesis
Deficient breast volume or number,180173,Rare developmental defect during embryogenesis
Familial juvenile hypertrophy of the breast,180176,Rare gynecologic or obstetric disease
Cockayne syndrome,191,Rare developmental defect during embryogenesis
Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy,166,Rare neurologic disease
Excess breast volume or number,180170,Rare developmental defect during embryogenesis
Aggressive primary cutaneous T-cell lymphoma,178551,Rare neoplastic disease
Indolent primary cutaneous T-cell lymphoma,178548,Rare neoplastic disease
Free sialic acid storage disease,834,Rare inborn errors of metabolism
Indolent primary cutaneous B-cell lymphoma,178557,Rare neoplastic disease
Aggressive primary cutaneous B-cell lymphoma,178554,Rare neoplastic disease
Schizencephaly,799,Rare developmental defect during embryogenesis
Primary cutaneous B-cell lymphoma,178563,Rare neoplastic disease
Multiple sclerosis-ichthyosis-factor VIII deficiency syndrome,3151,Rare hematologic disease
Mycosis fungoides and variants,178566,Rare neoplastic disease
Silver-Russell syndrome,813,Rare developmental defect during embryogenesis
Sirenomelia,3169,Rare developmental defect during embryogenesis
Sjögren-Larsson syndrome,816,Rare skin disease
Sotos syndrome,821,Rare developmental defect during embryogenesis
Infantile spasms-broad thumbs syndrome,3173,Rare neurologic disease
Stormorken-Sjaastad-Langslet syndrome,3204,Rare hematologic disease
Sturge-Weber syndrome,3205,Rare developmental defect during embryogenesis
Thrombocytopenia-absent radius syndrome,3320,Rare developmental defect during embryogenesis
Acquired neutropenia,178996,Rare immune disease
Tracheal agenesis,3346,Rare developmental defect during embryogenesis
Primary immunodeficiency due to a defect in adaptive immunity,179006,Rare immune disease
Congenital toxoplasmosis,858,Rare developmental defect during embryogenesis
VACTERL/VATER association,887,Rare developmental defect during embryogenesis
Congenital varicella syndrome,291,Rare developmental defect during embryogenesis
Cerebrotendinous xanthomatosis,909,Rare inborn errors of metabolism
Weaver syndrome,3447,Rare developmental defect during embryogenesis
Chondrodysplasia-difference of sex development syndrome,1422,Rare bone disease
Infant botulism,178478,Rare infectious disease
Intestinal botulism,178481,Rare infectious disease
Autosomal dominant non-syndromic intellectual disability,178469,Rare neurologic disease
Wound botulism,178475,Rare infectious disease
X-linked myopathy with postural muscle atrophy,178461,Rare neurologic disease
Hereditary myopathy with early respiratory failure,178464,Rare neurologic disease
Hemorrhagic disease due to alpha-1-antitrypsin Pittsburgh mutation,178396,Rare hematologic disease
Distal myopathy with anterior tibial onset,178400,Rare neurologic disease
Congenital vertical talus,178382,Rare developmental defect during embryogenesis
